Retorno_Anual;Volatilidade;Sharpe;Pareto_Eficiente;Peso_AAPL;Peso_AMZN;Peso_BRK_B;Peso_GOOGL;Peso_JNJ;Peso_JPM;Peso_MSFT;Peso_XOM
0,207104;0,205395;1,008321;0;0,20286434425234004;0,11544629533494337;0,012769384560661545;0,09256858412139156;0,3681766526004512;0,0010526889816483771;0,09199018143837959;0,11513186871018423
0,198449;0,226077;0,877792;0;0,11104394598713618;0,36356572330545467;0,061245795612611995;0,06137966997693249;0,19266512186444842;0,08669912409408652;0,03664321665666891;0,0867574025026608
0,170731;0,193303;0,883233;0;0,023866331828582592;0,030505674798649067;0,10845149137637296;0,08534099974617775;0,3872335136428915;0,07074614817690437;0,1365928288873562;0,15726301154306563
0,20203;0,256773;0,786806;0;0,0011876598440020772;0,0981477514760392;0,017665727086650845;0,29247841127240837;0,014502008603627214;0,04825095458372626;0,008038514601519576;0,5197289725320264
0,225663;0,246838;0,914214;0;0,11590986019055444;0,15035187815501994;0,011537374333482538;0,23033127587138547;0,03914961615706856;0,37941351162736864;0,038150281054340214;0,03515620261078032
0,172228;0,197048;0,874039;0;0,007449538957827197;0,12780297476590374;0,1664684980510524;0,0135982628790472;0,2989076741747935;0,120810239338806;0,14868483296568066;0,11627797886688908
0,184426;0,217778;0,846852;0;0,06934617168104504;0,11106306517696374;0,022845047377296153;0,02719217514918527;0,2679809449173191;0,3955375050167417;0,06328008502842174;0,04275500565302741
0,208031;0,213477;0,974489;0;0,23652767311951622;0,120342781650407;0,005888817546558576;0,03888227732612855;0,28825204922189746;0,24633540771354792;0,006290893888545581;0,057480099533398755
0,197532;0,212327;0,930322;0;0,05659959930378405;0,24004813421399365;0,004288107145729818;0,02368054298774405;0,34658719368701446;0,042364943883351824;0,2278314236651073;0,05860005511327477
0,193153;0,210518;0,917513;0;0,014523113706210946;0,038633011495049996;0,17763490252972503;0,26842049128730905;0,24587662468159485;0,0701810442637784;0,15292342692465413;0,03180738511167744
0,210751;0,262784;0,801992;0;0,08564317891014138;0,5595270052855128;0,0032306713850805417;0,022065891118390687;0,057530223364821186;0,0066381318926654696;0,04942162474872533;0,21594327329466248
0,209984;0,234093;0,897013;0;0,07952984838330342;0,3243862678944982;0,24718470249164703;0,06079313692853042;0,0436503993192757;0,06940719689255062;0,12969237898767524;0,0453560691025193
0,231868;0,241081;0,961785;0;0,12564246786973515;0,06761741723160963;0,10310980855199874;0,07356073757397641;0,044784161543409286;0,38072538896133734;0,18517822036338616;0,019381797904547304
0,230852;0,226129;1,020886;0;0,2466402415097981;0,08125919994636092;0,27351521585638444;0,1955990917328812;0,06732971877231253;0,0027631408731626055;0,038044702587392;0,0948486887217082
0,176199;0,19643;0,897003;0;0,11581795388364291;0,03441599939197957;0,017317284370726986;0,20786442281902096;0,4800998888085303;0,08606975180134116;0,021734515196026354;0,03668018372873176
0,211014;0,241344;0,874328;0;0,0025041613168840194;0,3314557983676747;0,016901510972238225;0,1159190979482615;0,04320875867085302;0,10898409215185269;0,14217881463933735;0,23884776593289864
0,198255;0,213658;0,927911;0;0,030088814846468703;0,0014389284333800123;0,01915773339775394;0,29968386121567686;0,269469115996372;0,11840760256428519;0,11941481310882292;0,1423391304372403
0,188952;0,232006;0,814429;0;0,032255412157586115;0,4112111210126745;0,09076814262402316;0,08081513331296668;0,1224021519277304;0,00804698396959927;0,030421961087452255;0,2240790939079676
0,229198;0,238126;0,962507;0;0,02063905108185667;0,22069926374584817;0,06722213914209328;0,11776225028421816;0,08134766008271202;0,10496406892483824;0,30317156935317263;0,084193997385261
0,207452;0,224941;0,922251;0;0,11557457099387407;0,08939548061998681;0,15070740927261836;0,3819905232323569;0,18241260215122077;0,033469461744603905;0,0043814918141534456;0,04206846017118583
0,223745;0,234171;0,955475;0;0,19557820744588733;0,011421364076589021;0,148384134491554;0,19652319094831391;0,08801118515016024;0,31879920535804934;0,02438482777593111;0,016897884753515034
